Binomial.name;NCBI_ID;Motility;Gram.staining;Aerophilicity;Extreme.environment.tolerance;Biofilm.formation;Animal.pathogenicity;Biosafety.level;Health.association;Host.association;Plant.pathogenicity;Spore.formation;Hemolysis;Cell.shape;Member.of.WA.subset;Superkingdom;Phylum;Class;Order;Family;Genus;Species;FTP.path;Fasta.file;Gff.file;Gene_file;Gene_location
Bradyrhizobium yuanmingense;108015;TRUE;gram stain negative;aerobic;FALSE;NA;FALSE;biosafety level 1;NA;FALSE;FALSE;FALSE;NA;bacillus;TRUE;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium yuanmingense;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/157/565/GCF_005157565.1_ASM515756v1;GCF_005157565.1_ASM515756v1_genomic.fasta;GCF_005157565.1_ASM515756v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_005157565.1_ASM515756v1_genomic.txt
Gluconacetobacter entanii;108528;FALSE;gram stain negative;aerobic;FALSE;NA;FALSE;biosafety level 1;NA;FALSE;FALSE;FALSE;NA;NA;TRUE;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Gluconacetobacter;Gluconacetobacter entanii;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/155/425/GCA_013155425.1_ASM1315542v1;GCA_013155425.1_ASM1315542v1_genomic.fasta;GCA_013155425.1_ASM1315542v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_013155425.1_ASM1315542v1_genomic.txt
Mesorhizobium norvegicum;1085774;TRUE;gram stain negative;aerobic;FALSE;NA;NA;biosafety level 1;NA;TRUE;FALSE;FALSE;NA;bacillus;TRUE;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;Mesorhizobium norvegicum;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/919/685/GCF_004919685.1_ASM491968v1;GCF_004919685.1_ASM491968v1_genomic.fasta;GCF_004919685.1_ASM491968v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_004919685.1_ASM491968v1_genomic.txt
Dickeya solani;1089444;TRUE;gram stain negative;NA;FALSE;TRUE;FALSE;biosafety level 1;NA;FALSE;TRUE;FALSE;NA;bacillus;TRUE;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Pectobacteriaceae;Dickeya;Dickeya solani;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/846/995/GCF_002846995.1_ASM284699v1;GCF_002846995.1_ASM284699v1_genomic.fasta;GCF_002846995.1_ASM284699v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_002846995.1_ASM284699v1_genomic.txt
Alloalcanivorax xenomutans;1094342;TRUE;gram stain negative;aerobic;TRUE;NA;FALSE;biosafety level 1;NA;NA;FALSE;FALSE;NA;bacillus;TRUE;Bacteria;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Alcanivoracaceae;Alloalcanivorax;Alloalcanivorax xenomutans;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/810/065/GCA_032810065.1_ASM3281006v1;GCA_032810065.1_ASM3281006v1_genomic.fasta;GCA_032810065.1_ASM3281006v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_032810065.1_ASM3281006v1_genomic.txt
Sinorhizobium terangae;110322;TRUE;gram stain negative;aerobic;FALSE;NA;NA;biosafety level 1;NA;NA;FALSE;FALSE;NA;bacillus;TRUE;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Sinorhizobium;Sinorhizobium terangae;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/714/365/GCF_029714365.1_ASM2971436v1;GCF_029714365.1_ASM2971436v1_genomic.fasta;GCF_029714365.1_ASM2971436v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_029714365.1_ASM2971436v1_genomic.txt
Promicromonospora iranensis;1105144;FALSE;gram stain positive;aerobic;FALSE;NA;FALSE;biosafety level 1;NA;NA;FALSE;FALSE;NA;NA;TRUE;Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Promicromonosporaceae;Promicromonospora;Promicromonospora iranensis;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/994/805/GCF_028994805.1_ASM2899480v1;GCF_028994805.1_ASM2899480v1_genomic.fasta;GCF_028994805.1_ASM2899480v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_028994805.1_ASM2899480v1_genomic.txt
Mycolicibacter longobardus;1108812;FALSE;gram stain positive;aerobic;NA;NA;TRUE;biosafety level 1;NA;NA;FALSE;FALSE;NA;bacillus;TRUE;Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacter;Mycolicibacter longobardus;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/823/135/GCF_025823135.1_ASM2582313v1;GCF_025823135.1_ASM2582313v1_genomic.fasta;GCF_025823135.1_ASM2582313v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_025823135.1_ASM2582313v1_genomic.txt
Actinomyces radicidentis;111015;FALSE;gram stain positive;aerobic;FALSE;NA;NA;biosafety level 2;NA;NA;FALSE;FALSE;gamma;bacillus;TRUE;Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces radicidentis;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/553/565/GCF_001553565.1_ASM155356v1;GCF_001553565.1_ASM155356v1_genomic.fasta;GCF_001553565.1_ASM155356v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_001553565.1_ASM155356v1_genomic.txt
Flavobacterium collinsii;1114861;TRUE;gram stain negative;aerobic;NA;NA;TRUE;biosafety level 1;NA;NA;FALSE;FALSE;NA;bacillus;TRUE;Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Flavobacterium collinsii;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/946/903/285/GCF_946903285.1_TRV642_V1;GCF_946903285.1_TRV642_V1_genomic.fasta;GCF_946903285.1_TRV642_V1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_946903285.1_TRV642_V1_genomic.txt
Flavobacterium plurextorum;1114867;TRUE;gram stain negative;aerobic;NA;NA;TRUE;biosafety level 1;NA;NA;FALSE;FALSE;NA;bacillus;TRUE;Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Flavobacterium plurextorum;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/638/035/GCF_024638035.1_ASM2463803v1;GCF_024638035.1_ASM2463803v1_genomic.fasta;GCF_024638035.1_ASM2463803v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_024638035.1_ASM2463803v1_genomic.txt
Flavobacterium tructae;1114873;TRUE;gram stain negative;aerobic;NA;NA;TRUE;biosafety level 1;NA;NA;FALSE;FALSE;NA;bacillus;TRUE;Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Flavobacterium tructae;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/217/445/GCF_002217445.1_ASM221744v1;GCF_002217445.1_ASM221744v1_genomic.fasta;GCF_002217445.1_ASM221744v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_002217445.1_ASM221744v1_genomic.txt
Flavobacterium piscis;1114874;TRUE;gram stain negative;aerobic;NA;NA;TRUE;biosafety level 1;NA;NA;FALSE;FALSE;NA;bacillus;TRUE;Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Flavobacterium piscis;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/222/045/GCF_002222045.1_ASM222204v1;GCF_002222045.1_ASM222204v1_genomic.fasta;GCF_002222045.1_ASM222204v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_002222045.1_ASM222204v1_genomic.txt
Flavobacterium branchiicola;1114875;TRUE;gram stain negative;aerobic;NA;NA;TRUE;biosafety level 1;NA;NA;FALSE;FALSE;NA;bacillus;TRUE;Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Flavobacterium branchiicola;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/383/905/GCA_018383905.1_ASM1838390v1;GCA_018383905.1_ASM1838390v1_genomic.fasta;GCA_018383905.1_ASM1838390v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_018383905.1_ASM1838390v1_genomic.txt
Actinomadura fibrosa;111802;FALSE;gram stain positive;aerobic;FALSE;NA;NA;biosafety level 1;NA;FALSE;FALSE;TRUE;NA;bacillus;TRUE;Bacteria;Actinomycetota;Actinomycetes;Streptosporangiales;Thermomonosporaceae;Actinomadura;Actinomadura fibrosa;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/659/615/GCA_900659615.1_LMG29177_FinalContigs.fasta.gz;GCA_900659615.1_LMG29177_FinalContigs.fasta.gz_genomic.fasta;GCA_900659615.1_LMG29177_FinalContigs.fasta.gz_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_900659615.1_LMG29177_FinalContigs.fasta.gz_genomic.txt
